route_id,mode,stops,num_stops,total_pallets,total_duration_sec,cost
Fri_00015,owned,New World Mt Roskill,1,8,9032.66,551.9958888888889
Fri_00022,owned,New World Papatoetoe,1,7,10605.88,648.137111111111
Fri_00025,owned,New World Green Bay,1,9,11445.54,699.4496666666666
Fri_00026,owned,Four Square Britomart;New World Metro Queen St,2,8,11629.9,710.7161111111111
Fri_00034,owned,New World Newmarket,1,9,12454.83,761.1284999999999
Fri_00038,owned,Pak 'n Save Mangere,1,10,13119.57,801.7515
Fri_00053,owned,Pak 'n Save Henderson,1,10,14151.09,864.7888333333334
Fri_00054,owned,New World Milford,1,9,14247.21,870.6628333333333
Fri_00055,owned,Pak 'n Save Mt Albert,1,12,14259.27,871.3998333333333
Fri_00063,owned,Pak 'n Save Royal Oak,1,12,14573.54,894.9437222222223
Fri_00065,owned,Four Square Glen Eden;New World New Lynn,2,11,14624.23,899.3086944444443
Fri_00068,owned,Pak 'n Save Wairau Road,1,10,15080.95,938.6373611111112
Fri_00070,owned,Pak 'n Save Manukau,1,11,15236.7,952.0491666666666
Fri_00076,owned,Pak 'n Save Papakura,1,10,15471.63,972.2792499999999
Fri_00078,owned,New World Hobsonville;Four Square Hobsonville,2,11,15652.02,987.8128333333333
Fri_00080,owned,Pak 'n Save Clendon,1,11,15687.34,990.8542777777778
Fri_00082,owned,Pak 'n Save Botany,1,10,15737.42,995.1667222222221
Fri_00083,owned,Pak 'n Save Sylvia Park,1,11,15809.55,1001.3779166666667
Fri_00088,owned,Pak 'n Save Albany,1,10,16059.99,1022.9435833333334
Fri_00090,owned,Four Square Eden Terrace;New World Victoria Park,2,12,16096.59,1026.09525
Fri_00092,owned,New World Mt Albert;New World Point Chevalier,2,13,16148.72,1030.5842222222223
Fri_00104,owned,New World Remuera;Four Square Remuera,2,12,16469.85,1058.2370833333332
Fri_00106,owned,New World Metro Shore City;New World Devonport,2,10,16580.84,1067.7945555555557
Fri_00109,owned,Pak 'n Save Glen Innes,1,11,16723.24,1080.0567777777778
Fri_00113,owned,Four Square St Heliers;New World Eastridge,2,11,16867.45,1092.4748611111113
Fri_00120,owned,Pak 'n Save Westgate,1,13,17279.0,1127.9138888888888
Fri_00155,owned,New World Long Bay;Four Square Torbay,2,11,18301.36,1215.9504444444447
Fri_00157,owned,Pak 'n Save Lincoln Road;Four Square Fair Price Henderson,2,14,18406.51,1225.0050277777775
Fri_00158,owned,Pak 'n Save Ormiston;Four Square Botany Junction,2,13,18488.55,1232.0695833333334
Fri_00160,owned,Four Square Cockle Bay;New World Howick,2,12,18513.0,1234.175
Fri_00173,owned,Four Square Onehunga;Four Square Ellerslie;New World Stonefields,3,14,18822.78,1260.8504999999998
Fri_00182,owned,Pak 'n Save Highland Park;Four Square Pakuranga Heights,2,13,18970.91,1273.6061388888888
Fri_00185,owned,New World Birkenhead;Four Square Lancaster,2,13,19005.15,1276.5545833333335
Fri_00506,owned,New World Papakura;New World Southmall,2,15,21376.43,1480.748138888889
Fri_00724,owned,New World Botany;New World Ormiston,2,16,22378.55,1567.0418055555554
Fri_00964,owned,New World Albany;New World Browns Bay,2,16,23294.75,1645.9368055555556
